jobType,workAreaCode,workYear,degree,industryType1,companyType,companySizeCode,jobSalaryMax,jobSalaryMin,term,jobSalaryMaxLevel,jobSalaryMinLevel
0,10000,0.0,4,4.0,1,1.0,3000.0,2000.0,0,1,1
0,11100,3.0,5,1.0,1,1.0,3000.0,2000.0,0,1,1
0,999999,3.0,5,23.0,8,1.0,3000.0,2000.0,1,1,1
0,10000,0.0,5,32.0,1,7.0,3000.0,2000.0,0,1,1
0,10500,0.0,0,60.0,2,5.0,3000.0,2000.0,1,1,1
0,11400,8.0,5,65.0,2,3.0,2000.0,1000.0,0,1,1
0,10200,0.0,5,18.0,5,4.0,2000.0,1000.0,1,1,1
0,10600,3.0,4,47.0,1,1.0,2000.0,1500.0,1,1,1
0,10000,0.0,2,23.0,1,1.0,4000.0,2000.0,0,1,1
0,10500,0.0,5,31.0,4,7.0,3500.0,2000.0,1,1,1
0,10600,0.0,5,32.0,3,5.0,4000.0,2000.0,0,1,1
0,10000,0.0,4,52.0,2,4.0,3000.0,2000.0,0,1,1
0,11400,8.0,5,65.0,2,3.0,2000.0,1000.0,0,1,1
0,10000,0.0,5,32.0,1,7.0,3000.0,2000.0,0,1,1
0,10800,8.0,7,1.0,1,4.0,1001.0,1000.0,0,1,1
0,10000,0.0,3,22.0,2,6.0,3000.0,2000.0,1,1,1
0,10800,8.0,7,1.0,1,4.0,1001.0,1000.0,0,1,1
0,10500,6.0,5,31.0,2,4.0,1001.0,1000.0,0,1,1
0,11200,0.0,4,8.0,5,5.0,3000.0,1600.0,0,1,1
0,999999,0.0,0,12.0,1,1.0,4000.0,2000.0,1,1,1
0,170200,5.0,4,8.0,2,3.0,1002.0,1001.0,0,1,1
0,10500,3.0,5,31.0,4,7.0,3500.0,2000.0,1,1,1
0,10000,3.0,5,17.0,1,1.0,2000.0,1000.0,0,1,1
0,11200,0.0,0,44.0,8,1.0,3000.0,2000.0,0,1,1
0,10000,0.0,2,9.0,1,1.0,4000.0,2000.0,0,1,1
0,10800,0.0,4,33.0,2,5.0,4000.0,2000.0,1,1,1
0,10000,6.0,5,8.0,2,3.0,1001.0,1000.0,0,1,1
0,10100,6.0,5,8.0,2,2.0,1001.0,1000.0,0,1,1
0,10200,0.0,3,6.0,2,7.0,3000.0,2000.0,1,1,1
0,10500,0.0,3,22.0,2,6.0,3000.0,2000.0,1,1,1
0,10500,0.0,6,3.0,5,2.0,1500.0,1000.0,0,1,1
0,10500,0.0,4,23.0,1,4.0,4000.0,2000.0,1,1,1
0,11200,0.0,4,8.0,5,5.0,3000.0,1600.0,0,1,1
0,10000,0.0,5,46.0,1,4.0,4000.0,2000.0,1,1,1
0,10000,0.0,5,32.0,1,7.0,4000.0,2000.0,0,1,1
0,10000,0.0,0,22.0,2,7.0,3000.0,1500.0,0,1,1
0,10000,0.0,0,53.0,1,1.0,2000.0,1000.0,0,1,1
0,10000,6.0,4,8.0,2,3.0,1002.0,1001.0,0,1,1
0,160500,6.0,4,14.0,2,4.0,1001.0,1000.0,0,1,1
0,10000,0.0,4,22.0,2,6.0,3000.0,2000.0,1,1,1
